Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/04/2026,01/05/2026,PINE STREET BISTRO,Food & Drink,Sale,-68.40,
01/07/2026,01/08/2026,TECH DEPOT,Shopping,Sale,-229.00,
01/11/2026,01/12/2026,STREAMFLIX,Entertainment,Sale,-15.99,
01/14/2026,01/15/2026,PAYMENT THANK YOU WEB,Payment,Payment,412.36,
01/24/2026,01/25/2026,DOORDASH,Food & Drink,Sale,-38.97,
02/03/2026,02/04/2026,PINE STREET BISTRO,Food & Drink,Sale,-74.80,
02/06/2026,02/07/2026,CLOUDNOTE,Services,Sale,-12.00,
02/11/2026,02/12/2026,POWELLS BOOKS,Shopping,Sale,-46.25,
02/14/2026,02/15/2026,PAYMENT THANK YOU WEB,Payment,Payment,536.18,
02/21/2026,02/22/2026,SHELL OIL,Gas,Sale,-52.70,
03/04/2026,03/05/2026,PINE STREET BISTRO,Food & Drink,Sale,-82.10,
03/09/2026,03/10/2026,NEW SEASONS MARKET,Groceries,Sale,-96.48,
03/12/2026,03/13/2026,NEW SEASONS MARKET,Groceries,Return,24.50,Returned pantry item
03/14/2026,03/15/2026,PAYMENT THANK YOU WEB,Payment,Payment,488.70,
03/20/2026,03/21/2026,STREAMFLIX,Entertainment,Sale,-15.99,
